Source Code,Term Original,Value Set Name,Value Set OID,Value Set Version,Code System Name,Code System Version
10759761000119100,Rubella in mother complicating childbirth,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
10760081000119108,Pyemic and septic embolism in childbirth,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
10760131000119108,Pyemic and septic embolism in pregnancy,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
10760181000119109,Cardiac arrest due to miscarriage,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
1078223005,Thrombosis of cerebral venous sinus due to and following surgical procedure,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
1078301000112109,Multiple drug intolerant hypertension,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
10805641000119102,Congenital cardiovascular anomaly in mother complicating childbirth,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
10809641000119100,Mitral valve disorder in mother complicating childbirth,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
10811961000119109,Cardiac arrest due to incomplete miscarriage,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
10818008,Congenital malposition of heart,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
10835781000119105,Amniotic fluid embolism in childbirth,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
108411000119109,Mural thrombus of left atrium,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
108421000119102,Mural thrombus of left ventricle,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
1084791000119106,Cardiac disorder due to typhoid fever,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
1085121000119107,Gastric hemorrhage due to chronic superficial gastritis,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
1086051000119107,Cardiomyopathy due to diphtheria,Cardiovascular Diseases,f0e9509f-fb3b-e811-80e5-44a842477190,,SNOMED CT US Edition,20250901
