Source Code,Term Original,Value Set Name,Code System Name,Code System Version
250.22,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.30,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.32,"Diabetes with other coma, type II or unspecified type, uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.40,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.42,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.50,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.52,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.60,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.62,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.70,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.72,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.80,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.82,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.90,"Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
250.92,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled","Diabetes Mellitus, Type 2",ICD-9-CM Diagnosis,31/32
274590004,[EDTA] Diabetes Type II (non-insulin-dependent) associated with renal failure,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
28331000119107,Retinal edema due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
313436004,Type 2 diabetes mellitus without complication,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
314370005,Type II diabetes mellitus with mononeuropathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
314371009,Type II diabetes mellitus with polyneuropathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
314378003,Type II diabetes mellitus with nephropathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
314772004,Type 2 diabetes mellitus with hypoglycemic coma,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
314888007,Type II diabetes mellitus with diabetic cataract,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
314902007,Type 2 diabetes mellitus with peripheral angiopathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
314903002,Arthropathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
314904008,Type 2 diabetes mellitus with neuropathic arthropathy,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
359642000,Type 2 diabetes mellitus in nonobese,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
366909003,Insulin treated Type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
368051000119109,Hyperglycemia due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
368101000119109,Diabetes mellitus type 2 with periodontal disease,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
368581000119106,Neuropathy due to type 2 diabetes mellitus,"Diabetes Mellitus, Type 2",SNOMED CT US Edition,20250901
